LOC_NAME,SAMPLE_DATE,SAMPLEDATE,TASK_CODE,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,X_COORD,Y_COORD
W-073,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,5.98,5.98,SU,2024166.25,745339.31
W-072,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,7.13,7.13,SU,2024162.69,745450.25
W-057,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.25,6.25,SU,2024190.79,745307.43
W-054,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.66,6.66,SU,2024229.98,745442.55
W-053,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,5.33,5.33,SU,2024247.56,745496
W-052,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.52,6.52,SU,2024260.17,745542.36
W-037,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.21,6.21,SU,2024230.73,745407.39
W-061,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,5.31,5.31,SU,2023288.26,745829.26
W-060,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,5.67,5.67,SU,2023286.81,745835.58
W-039,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,5.60,5.6,SU,2023656.67,745587.41
W-067,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,6.27,6.27,SU,2024485.79,744459.59
W-023R,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,5.76,5.76,SU,2024851.26,744674.74
W-016,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,7.21,7.21,SU,2024060.26,744602.32
W-014,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,7.06,7.06,SU,2024478.65,744603.2
W-103,4/10/2023,10 Apr 2023,2023-Q2-GW,pH,,6.25,6.25,SU,2024483.13,744466.69
W-066,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,5.00,5,SU,2024027.17,745687.82
W-065,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,6.02,6.02,SU,2024027.45,745693.7
W-121,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,4.76,4.76,SU,2024008.09,745966.73
W-120,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,6.08,6.08,SU,2024014.35,745967.14
W-118,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,4.72,4.72,SU,2023241.08,746437.24
W-117,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,4.67,4.67,SU,2023237.7,746432.66
W-116,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,4.92,4.92,SU,2023433.25,746778.95
W-115,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,5.11,5.11,SU,2023435.8,746784.3
W-114,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,5.61,5.61,SU,2024001.48,746806.04
W-070,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,6.73,6.73,SU,2026062.87,745719.22
W-069,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,6.05,6.05,SU,2026064.29,745726.92
W-050,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,5.02,5.02,SU,2024107.4,745637.22
W-040,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,6.12,6.12,SU,2024112.48,745646.53
W-024,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,5.09,5.09,SU,2027344.76,746742.56
W-098,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,4.28,4.28,SU,2022894.54,745190.42
W-089,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,6.44,6.44,SU,2022888.25,746583.34
W-088,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,4.67,4.67,SU,2022883.96,746574.77
W-063,4/18/2023,18 Apr 2023,2023-Q2-GW,pH,,4.13,4.13,SU,2023019.42,745098.13
W-048,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,5.48,5.48,SU,2023290.44,744913.22
W-026,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,5.48,5.48,SU,2023417.69,744855.29
W-018R,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,7.16,7.16,SU,2023939.25,745012.69
W-017,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,6.71,6.71,SU,2023785.38,745055.22
W-091,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,5.52,5.52,SU,2022016.77,745976.36
W-090,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,5.35,5.35,SU,2022011.55,745981.12
W-068,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,6.34,6.34,SU,2022496.22,745329.25
W-062,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,6.34,6.34,SU,2022726.08,745485.46
W-019B,4/17/2023,17 Apr 2023,2023-Q2-GW,pH,,4.39,4.39,SU,2022552.95,746172.68
W-002R,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.17,5.17,SU,2023458.22,745325.15
W-044,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,4.98,4.98,SU,2022950.11,745579.89
W-043,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.35,5.35,SU,2023600.12,745904.31
W-041R,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.64,5.64,SU,2023252.59,745372.89
W-049,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.83,5.83,SU,2023192.63,745073.23
W-046,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.06,5.06,SU,2023494.46,745154.59
W-042,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,5.14,5.14,SU,2023203.32,745072.35
W-033,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,6.42,6.42,SU,2023548.66,745402.99
W-119,4/14/2023,14 Apr 2023,2023-Q2-GW,pH,,6.09,6.09,SU,2023805.69,746515.76
W-001R,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.59,5.59,SU,2024255.52,745689.84
W-064,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.85,5.85,SU,2023511.33,744643.8
W-106,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,6.02,6.02,SU,2023371.32,744431.55
W-075,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,6.25,6.25,SU,2024064.76,745317.23
W-074,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.29,5.29,SU,2024067.17,745325.13
W-047,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.33,5.33,SU,2023515.87,744633.77
W-036,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.59,5.59,SU,2024573.17,746084.83
W-015,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,5.81,5.81,SU,2023716.79,744663.42
W-122,4/13/2023,13 Apr 2023,2023-Q2-GW,pH,,6.66,6.66,SU,2024559.81,746087.76
W-099,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,6.59,6.59,SU,2023640.54,745123.51
W-094,4/24/2023,24 Apr 2023,2023-Q2-GW,pH,,6.11,6.11,SU,2021983.56,744728.03
W-107,4/24/2023,24 Apr 2023,2023-Q2-GW,pH,,5.95,5.95,SU,2023252.18,744034.11
W-095,4/24/2023,24 Apr 2023,2023-Q2-GW,pH,,7.11,7.11,SU,2022553.46,744375.66
W-111,4/24/2023,24 Apr 2023,2023-Q2-GW,pH,,7.67,7.67,SU,2022564.93,744378.27
W-097,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,5.67,5.67,SU,2024547.76,744244.05
W-025,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,6.23,6.23,SU,2022728.99,742114.33
W-124,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,5.78,5.78,SU,2024882.9,744153.42
W-112,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,6.45,6.45,SU,2022027.51,744101.62
W-004R,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,7.61,7.61,SU,2023932.04,744339.08
W-020,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,6.23,6.23,SU,2022975.38,743739.63
W-110,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,6.55,6.55,SU,2022508.26,744051.95
W-109,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,7.00,7,SU,2022981.06,743731.82
W-108,4/21/2023,21 Apr 2023,2023-Q2-GW,pH,,7.43,7.43,SU,2023295.23,743611.35
W-096,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,6.01,6.01,SU,2024643.81,743746.78
W-126,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,6.31,6.31,SU,2024650.41,743747.34
W-104,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,5.10,5.1,SU,2024875.51,744154.72
W-092,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,7.94,7.94,SU,2023714.92,744382.47
W-003A,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,7.46,7.46,SU,2023926.29,744340.23
W-027,4/20/2023,20 Apr 2023,2023-Q2-GW,pH,,7.86,7.86,SU,2023708.23,744383.9
W-125,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,6.13,6.13,SU,2024142.28,743837.31
W-105,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,6.14,6.14,SU,2024138,743843.47
W-086,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,7.49,7.49,SU,2025100.8,745082.29
W-085,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,7.49,7.49,SU,2025107.68,745079.71
W-071,4/19/2023,19 Apr 2023,2023-Q2-GW,pH,,6.59,6.59,SU,2026052.33,745716.65
W-085,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2025107.68,745079.71
W-086,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2025100.8,745082.29
W-105,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024138,743843.47
W-125,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024142.28,743837.31
W-027,4/20/2023,20 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023708.23,744383.9
W-003A,4/20/2023,20 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023926.29,744340.23
W-092,4/20/2023,20 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023714.92,744382.47
W-104,4/20/2023,20 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024875.51,744154.72
W-096,4/20/2023,20 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024643.81,743746.78
W-108,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023295.23,743611.35
W-109,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022981.06,743731.82
W-110,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022508.26,744051.95
W-020,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022975.38,743739.63
W-004R,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023932.04,744339.08
W-112,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022027.51,744101.62
W-124,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024882.9,744153.42
W-025,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022728.99,742114.33
W-097,4/21/2023,21 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024547.76,744244.05
W-111,4/24/2023,24 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022564.93,744378.27
W-095,4/24/2023,24 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022553.46,744375.66
W-107,4/24/2023,24 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023252.18,744034.11
W-094,4/24/2023,24 Apr 2023,2023-Q2-GW,Odor,,None,,None,2021983.56,744728.03
W-099,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023640.54,745123.51
W-122,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024559.81,746087.76
W-015,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023716.79,744663.42
W-036,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024573.17,746084.83
W-047,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023515.87,744633.77
W-074,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024067.17,745325.13
W-075,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024064.76,745317.23
W-106,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023371.32,744431.55
W-064,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023511.33,744643.8
W-001R,4/13/2023,13 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024255.52,745689.84
W-119,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023805.69,746515.76
W-033,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023548.66,745402.99
W-042,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023203.32,745072.35
W-046,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023494.46,745154.59
W-049,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023192.63,745073.23
W-041R,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023252.59,745372.89
W-043,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023600.12,745904.31
W-044,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022950.11,745579.89
W-002R,4/14/2023,14 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023458.22,745325.15
W-019B,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022552.95,746172.68
W-062,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022726.08,745485.46
W-068,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022496.22,745329.25
W-090,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022011.55,745981.12
W-091,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022016.77,745976.36
W-017,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023785.38,745055.22
W-018R,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023939.25,745012.69
W-026,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023417.69,744855.29
W-048,4/17/2023,17 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023290.44,744913.22
W-063,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023019.42,745098.13
W-088,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022883.96,746574.77
W-089,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022888.25,746583.34
W-098,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2022894.54,745190.42
W-024,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2027344.76,746742.56
W-040,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024112.48,745646.53
W-050,4/18/2023,18 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024107.4,745637.22
W-069,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2026064.29,745726.92
W-070,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2026062.87,745719.22
W-071,4/19/2023,19 Apr 2023,2023-Q2-GW,Odor,,None,,None,2026052.33,745716.65
W-114,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024001.48,746806.04
W-115,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023435.8,746784.3
W-116,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023433.25,746778.95
W-117,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023237.7,746432.66
W-118,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023241.08,746437.24
W-120,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024014.35,745967.14
W-121,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024008.09,745966.73
W-065,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024027.45,745693.7
W-066,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024027.17,745687.82
W-103,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024483.13,744466.69
W-014,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024478.65,744603.2
W-016,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024060.26,744602.32
W-023R,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024851.26,744674.74
W-067,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024485.79,744459.59
W-039,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023656.67,745587.41
W-060,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023286.81,745835.58
W-061,4/10/2023,10 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023288.26,745829.26
W-037,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024230.73,745407.39
W-052,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024260.17,745542.36
W-053,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024247.56,745496
W-054,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024229.98,745442.55
W-057,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024190.79,745307.43
W-072,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024162.69,745450.25
W-073,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024166.25,745339.31
W-081,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024469.85,744938.6
W-102,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024124.44,745090.12
W-022,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024116.4,744960.92
W-030,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024150.84,745095.16
W-006,4/11/2023,11 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024109.62,744963.29
W-100,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023636.36,745126.22
W-035,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024227.93,745716.7
W-045,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024296.1,745644.03
W-051,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024270.83,745583.86
W-087,4/12/2023,12 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024385.81,745952.76
W-007A,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023872.22,744907.43
W-082,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024594.17,744895.93
W-083,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024667.49,744975.06
W-084,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024721.5,745177.25
W-028,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024317.41,745121.78
W-038,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024192.97,745250.31
W-058,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024176.33,745254.09
W-078,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024371.03,745117.75
W-080,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024414.69,745024.39
W-093,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024346.84,745162.26
W-123,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024283.69,744647.8
W-013R,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024279.25,744648.71
W-029,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024101.64,745182.77
W-076,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024223.52,745181.19
W-079,4/6/2023,06 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024450.27,745200.4
W-113,4/7/2023,07 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024004.27,746811.2
W-055,4/4/2023,04 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024214,745397.65
W-056,4/4/2023,04 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024203.75,745351.31
W-059,4/4/2023,04 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024165.88,745219.37
W-077,4/4/2023,04 Apr 2023,2023-Q2-GW,Odor,,None,,None,2024346.11,745158.93
W-010,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023659.9,744897.85
W-011,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023914.56,744743.05
W-032,4/5/2023,05 Apr 2023,2023-Q2-GW,Odor,,None,,None,2023919.81,744742.1
W-071,4/19/2023,19 Apr 2023,2023-Q2-GW,Temperature,,19.42,19.42,degC,2026052.33,745716.65
W-085,4/19/2023,19 Apr 2023,2023-Q2-GW,Temperature,,24.13,24.13,degC,2025107.68,745079.71
W-086,4/19/2023,19 Apr 2023,2023-Q2-GW,Temperature,,25.85,25.85,degC,2025100.8,745082.29
W-105,4/19/2023,19 Apr 2023,2023-Q2-GW,Temperature,,19.05,19.05,degC,2024138,743843.47
W-125,4/19/2023,19 Apr 2023,2023-Q2-GW,Temperature,,19.51,19.51,degC,2024142.28,743837.31
W-027,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,17.55,17.55,degC,2023708.23,744383.9
W-003A,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,20.20,20.2,degC,2023926.29,744340.23
W-092,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,17.46,17.46,degC,2023714.92,744382.47
W-104,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,20.83,20.83,degC,2024875.51,744154.72
W-126,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,19.38,19.38,degC,2024650.41,743747.34
W-096,4/20/2023,20 Apr 2023,2023-Q2-GW,Temperature,,18.44,18.44,degC,2024643.81,743746.78
W-108,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,17.95,17.95,degC,2023295.23,743611.35
W-109,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,18.82,18.82,degC,2022981.06,743731.82
W-110,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,21.44,21.44,degC,2022508.26,744051.95
W-020,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,18.63,18.63,degC,2022975.38,743739.63
W-004R,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,15.93,15.93,degC,2023932.04,744339.08
W-112,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,19.02,19.02,degC,2022027.51,744101.62
W-124,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,18.60,18.6,degC,2024882.9,744153.42
W-025,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,18.39,18.39,degC,2022728.99,742114.33
W-097,4/21/2023,21 Apr 2023,2023-Q2-GW,Temperature,,17.19,17.19,degC,2024547.76,744244.05
